Company,Salary
Paytm,2250000
Google,2619241
GEP Worldwide,1600000
Cisco,2080000
Virtusa,550000
Whatfix,1400000
Tata Consultancy ...,750000
Amazon,2443000
Canonical,4000000
Canonical,2800000
Harness,2310000
Tata Consultancy ...,400000
ServiceNow,3239418
Goldman Sachs,2187880
Vois,500000
NielsenIQ,1000000
NielsenIQ,1000000
Valtech,543000
Cognizant,400000
TransUnion,800000
Samsung,1200000
PwC,1000000
Arcon,700000
HPE,1550000
Oracle,1584300
Google,3400000
TietoEVRY,550000
Mindruby Technology,360000
Amazon,3475000
AirAsia,900000
Quantiphi,50000
Microsoft,2423337
Microsoft,2490000
Tata Consultancy ...,300000
Simpl,3000000
Icertis,700000
deepedge.ai,800000
Amazon,2870000
Phenom,1300000
PepsiCo,1300000
Wingify,1250000
CRED,2800000
Amazon,2050000
Google,3304167
Capgemini,400000
VMware,2240000
Testlio,120000
Google,4398763
Rubrik,5716250
Angel One,2118600
Microsoft,1900000
Movate,358292
JBIET,82366
Arcadis,600000
Walmart Global Tech,2085000
Almabetter,2000000
Oracle,2214000
VMware,1655969
Cognizant,400000
Wiley,800000
SailPoint,713000
Paytm,1520000
Capgemini,400000
ServiceNow,1960000
Amdocs,1000000
Bloomreach,2500000
Genpact,1140000
Societe Generale,1349000
Udaan,4443777
CercleX,523000
MathWorks,2059150
Google,4625300
Paytm Payments Bank,1200000
Ab,1435310
Health Ledger Dia...,240000
Airbnb,3052265
Microsoft,2100000
Media.net,2400000
Jumbotail Technology,420000
Amazon,2400000
RA,420000
Viasat,1175000
Tata Consultancy ...,205915
Phenom,770000
Cisco,1450000
Oracle,2617380
Accolite Digital,800000
Capgemini,750000
NielsenIQ,1100000
HCL Technologies,500000
V-Align,440411
Capgemini,400000
Microsoft,2900000
Accenture,450000
CS Infocomm,150000
Oracle,1905884
Johnson Controls,1000000
Cognizant,722500
Amazon,2532000
Sprinklr,3000000
Csuite ERP,380000
Dell Technologies,900000
Microsoft,3129908
Goldman Sachs,1760000
Pine Labs,1200000
Amazon,3600000
Striim,1200000
Persistent Systems,500000
Innova Solutions,530000
Verizon,752000
Microsoft,2553000
JPMorgan Chase,1625000
Cadence Design Sy...,1500000
PhonePe,2262500
Funding Societies,600000
Deloitte,800000
Razorpay,2800068
Fiserv,873080
Arm,1871919
Infosys,400000
Accenture,600000
ITC Infotech,2000000
Amazon,3620800
Microsoft,2516997
Amdocs,1000000
Infosys,900000
Amazon,2700000
Tata Consultancy ...,355000
AppIncubator,300000
Altair,350000
Samsung,1800000
Samsung,1700000
Google,1975000
Shell,1500000
Microsoft,1000000
Vasundhara Infotech,204000
Tata Consultancy ...,700000
DevRev,2500000
SSIR,1600000
Barclays,1800000
Oracle,2727451
RBL Bank,950000
EPAM Systems,1812052
Intuit,2250000
Oracle,1100000
Morgan Stanley,2500000
Razorpay,2125000
Oracle,1375000
IBM,1600000
Samsung,1400000
Tata Consultancy ...,760000
Deloitte,600000
GE,1183600
Salesforce,2005000
Uber,3190000
Ernst and Young,1350000
Beehyv Software S...,700000
Fareportal,990000
Oracle,3200000
Infineon Technolo...,480000
Varahe Analytics ...,900000
GeekyAnts,600000
IBM,725000
VMware,1775000
Microsoft,2600000
Amazon,2300000
Quest Infosoft,160000
PayPal,2000000
Qualcomm,2167000
Western Digital,1400000
IDFC FIRST Bank,750000
Amazon,2892677
ADP,600000
Microsoft,2470980
Google,2516166
Urban Company,2200000
Ericsson,495000
GEP Worldwide,550000
Oracle,3400000
Qualcomm,2200000
nference,1750000
Huawei,500000
Cognizant,400000
IBM,450000
Adobe,2457000
Accenture,100000
Capgemini,750000
BlueStone,2775000
Crop Systems,7001110
Microsoft,4520000
Oracle,1904113
SAP,823660
NCR,1500000
Testmasters,300000
Genesys,950000
ADP,600000
iFuture Globistic,250000
Amantya Technologies,492000
Nagarro,385000
Walmart Global Tech,2014000
NielsenIQ,1100000
Google,4045000
Infosys,247098
Tata Consultancy ...,700000
Droame,1000000
ServiceNow,3300000
Radisys,1200000
YCC,880040
Radisys,1200000
Danaher,300000
ThoughtWorks,1250000
Mercedes-Benz,700000
Infosys,360000
Tata Consultancy ...,380000
Unifize,1200000
Incapsulate,2565871
MathWorks,2051269
HashedIn,832000
Microsoft,4530130
Optum,1825000
Sheru,1150000
HPE,550000
Intel,1497000
Tata Consultancy ...,404000
Perfios Software ...,1000000
CampK12,144000
Sprinklr,3151851
LetsEndorse,108000
Giesecke+Devrient,450000
We Create Problems,800000
Google,3938163
Citi,1850000
ProShort,300000
Societe Generale,1383750
Pesu Venture Labs,1647320
Media.net,2325000
Amazon,2700000
M2P,1300000
Amazon,2700000
Extreme Networks,1140000
HDFC Life,1300000
LTIMindtree,400000
